Timestamp,Session_Code,Participant_ID,Group_ID,Prolific_ID,Period,Player_ID,Treatment
2025-06-12T06:05:14.218670,hfl1fp5v,1,N/A,0,1
2025-06-12T06:05:14.219792,hfl1fp5v,2,N/A,0,2
2025-06-12T06:05:14.221099,hfl1fp5v,3,N/A,0,3
2025-06-12T06:05:14.221991,hfl1fp5v,4,N/A,0,4
2025-06-12T06:05:14.223364,hfl1fp5v,5,N/A,0,5
2025-06-12T06:05:14.227517,hfl1fp5v,6,N/A,0,6
2025-06-12T06:05:14.228109,hfl1fp5v,7,N/A,0,7
2025-06-12T06:05:14.229806,hfl1fp5v,8,N/A,0,8
2025-06-12T06:05:14.230877,hfl1fp5v,9,N/A,0,9
2025-06-12T06:05:14.234386,hfl1fp5v,10,N/A,0,10
2025-06-12T06:05:14.235465,hfl1fp5v,11,N/A,0,11
2025-06-12T06:05:14.238397,hfl1fp5v,12,N/A,0,12
2025-06-12T06:05:14.239414,hfl1fp5v,13,N/A,0,13
2025-06-12T06:05:14.240170,hfl1fp5v,14,N/A,0,14
2025-06-12T06:05:14.240716,hfl1fp5v,15,N/A,0,15
2025-06-12T06:05:14.241192,hfl1fp5v,16,N/A,0,16
2025-06-12T06:05:14.241767,hfl1fp5v,17,N/A,0,17
2025-06-12T06:05:14.242340,hfl1fp5v,18,N/A,0,18
2025-06-12T06:05:14.242994,hfl1fp5v,19,N/A,0,19
2025-06-12T06:05:14.243874,hfl1fp5v,20,N/A,0,20
2025-06-12T06:05:14.245471,hfl1fp5v,21,N/A,0,21
2025-06-12T06:05:14.246576,hfl1fp5v,22,N/A,0,22
2025-06-12T06:05:14.247223,hfl1fp5v,23,N/A,0,23
2025-06-12T06:05:14.248062,hfl1fp5v,24,N/A,0,24
2025-06-12T06:05:14.248961,hfl1fp5v,25,N/A,0,25
2025-06-12T06:05:14.249419,hfl1fp5v,26,N/A,0,26
2025-06-12T06:05:14.249850,hfl1fp5v,27,N/A,0,27
