Timestamp,Session_Code,Participant_ID,Group_ID,Treatment,Round,Survey Page,Question,Response
2025-06-17T07:29:06.264857,j9m2lmj5,1,1,1,Nationality,spbrn,2
2025-06-17T07:29:06.267785,j9m2lmj5,1,1,1,Nationality,cntbrn,
2025-06-17T07:29:06.267813,j9m2lmj5,1,1,1,Nationality,spcit,1
2025-06-17T07:29:06.267831,j9m2lmj5,1,1,1,Nationality,other_cit,
2025-06-17T07:29:09.488416,j9m2lmj5,1,1,1,Education,degree,6
2025-06-17T07:32:13.883227,j9m2lmj5,1,1,1,Gender,gen,3
2025-06-17T07:32:13.887098,j9m2lmj5,1,1,1,Gender,other_gender,
2025-06-17T07:32:17.641558,j9m2lmj5,1,1,1,Income,inc,4
2025-06-17T07:32:17.642996,j9m2lmj5,1,1,1,Income,inc_hh,4
2025-06-17T07:36:08.745661,j9m2lmj5,2,1,1,Nationality,spbrn,1
2025-06-17T07:36:08.747393,j9m2lmj5,2,1,1,Nationality,cntbrn,
2025-06-17T07:36:08.747423,j9m2lmj5,2,1,1,Nationality,spcit,1
2025-06-17T07:36:08.747443,j9m2lmj5,2,1,1,Nationality,other_cit,
2025-06-17T07:36:11.245092,j9m2lmj5,2,1,1,Education,degree,4
2025-06-17T07:36:15.521230,j9m2lmj5,2,1,1,Gender,gen,1
2025-06-17T07:36:15.522692,j9m2lmj5,2,1,1,Gender,other_gender,
2025-06-17T07:36:18.922309,j9m2lmj5,2,1,1,Income,inc,5
2025-06-17T07:36:18.923484,j9m2lmj5,2,1,1,Income,inc_hh,7
2025-06-17T08:05:16.445718,j9m2lmj5,3,1,1,Nationality,spbrn,1
2025-06-17T08:05:16.451862,j9m2lmj5,3,1,1,Nationality,cntbrn,
2025-06-17T08:05:16.451884,j9m2lmj5,3,1,1,Nationality,spcit,1
2025-06-17T08:05:16.451900,j9m2lmj5,3,1,1,Nationality,other_cit,
2025-06-17T08:05:22.593944,j9m2lmj5,3,1,1,Education,degree,6
2025-06-17T08:07:48.420485,j9m2lmj5,3,1,1,Gender,gen,3
2025-06-17T08:07:48.424077,j9m2lmj5,3,1,1,Gender,other_gender,asdf
2025-06-17T08:07:51.939585,j9m2lmj5,3,1,1,Income,inc,4
2025-06-17T08:07:51.941476,j9m2lmj5,3,1,1,Income,inc_hh,7
2025-06-17T08:51:06.042419,lml2ozx6,1,1,1,Nationality,spbrn,1
2025-06-17T08:51:06.045373,lml2ozx6,1,1,1,Nationality,cntbrn,
2025-06-17T08:51:06.045405,lml2ozx6,1,1,1,Nationality,spcit,1
2025-06-17T08:51:06.045424,lml2ozx6,1,1,1,Nationality,other_cit,
2025-06-17T08:51:08.637267,lml2ozx6,1,1,1,Education,degree,4
2025-06-17T08:51:26.265515,lml2ozx6,2,1,1,Nationality,spbrn,1
2025-06-17T08:51:26.266877,lml2ozx6,2,1,1,Nationality,cntbrn,
2025-06-17T08:51:26.266906,lml2ozx6,2,1,1,Nationality,spcit,1
2025-06-17T08:51:26.266929,lml2ozx6,2,1,1,Nationality,other_cit,
2025-06-17T08:51:28.989820,lml2ozx6,2,1,1,Education,degree,4
2025-06-17T08:51:37.056273,lml2ozx6,2,1,1,Gender,gen,3
2025-06-17T08:51:37.058040,lml2ozx6,2,1,1,Gender,other_gender,apple
2025-06-17T08:51:41.333056,lml2ozx6,2,1,1,Income,inc,6
2025-06-17T08:51:41.335093,lml2ozx6,2,1,1,Income,inc_hh,6
2025-06-17T08:53:17.452698,lml2ozx6,9,1,1,Nationality,spbrn,2
2025-06-17T08:53:17.454549,lml2ozx6,9,1,1,Nationality,cntbrn,
2025-06-17T08:53:17.454582,lml2ozx6,9,1,1,Nationality,spcit,1
2025-06-17T08:53:17.454607,lml2ozx6,9,1,1,Nationality,other_cit,
2025-06-17T08:53:44.933398,lml2ozx6,9,1,1,Education,degree,2
2025-06-17T08:57:39.059293,lml2ozx6,1,1,1,Gender,gen,1
2025-06-17T08:57:39.061082,lml2ozx6,1,1,1,Gender,other_gender,
2025-06-17T08:57:43.427184,lml2ozx6,1,1,1,Income,inc,6
2025-06-17T08:57:43.428235,lml2ozx6,1,1,1,Income,inc_hh,6
2025-06-17T09:01:42.386880,lml2ozx6,6,1,1,Nationality,spbrn,2
2025-06-17T09:01:42.388061,lml2ozx6,6,1,1,Nationality,cntbrn,Anguilla
2025-06-17T09:01:42.388093,lml2ozx6,6,1,1,Nationality,spcit,2
2025-06-17T09:01:42.388117,lml2ozx6,6,1,1,Nationality,other_cit,American Samoa
2025-06-17T09:04:55.298294,lml2ozx6,4,1,1,Nationality,spbrn,1
2025-06-17T09:04:55.300289,lml2ozx6,4,1,1,Nationality,cntbrn,
2025-06-17T09:04:55.300323,lml2ozx6,4,1,1,Nationality,spcit,2
2025-06-17T09:04:55.300347,lml2ozx6,4,1,1,Nationality,other_cit,
2025-06-17T09:05:44.258759,lml2ozx6,4,1,1,Education,degree,6
2025-06-17T09:08:03.158107,lml2ozx6,4,1,1,Gender,gen,2
2025-06-17T09:08:03.159832,lml2ozx6,4,1,1,Gender,other_gender,
2025-06-17T09:09:50.156104,qpqdp5z6,1,1,1,Nationality,spbrn,1
2025-06-17T09:09:50.159420,qpqdp5z6,1,1,1,Nationality,cntbrn,
2025-06-17T09:09:50.159453,qpqdp5z6,1,1,1,Nationality,spcit,1
2025-06-17T09:09:50.159471,qpqdp5z6,1,1,1,Nationality,other_cit,
2025-06-17T09:09:57.644993,qpqdp5z6,1,1,1,Education,degree,4
2025-06-17T09:10:00.871582,qpqdp5z6,1,1,1,Gender,gen,2
2025-06-17T09:10:00.873622,qpqdp5z6,1,1,1,Gender,other_gender,
2025-06-17T09:11:32.284537,qpqdp5z6,2,1,1,Nationality,spbrn,1
2025-06-17T09:11:32.286241,qpqdp5z6,2,1,1,Nationality,cntbrn,
2025-06-17T09:11:32.286267,qpqdp5z6,2,1,1,Nationality,spcit,2
